record_kind,completeness,allow_incomplete,issue_codes,run_id,manifest_sha256,selection_id,selection_sha256,verdict_sha256,cell_id,cell_identity_sha256,attempt_id,attempt_record_sha256,configuration_id,workload_id,repetition,value_us,sample_count,measurement_schema,producer_schema,measurement_artifact_sha256,repository_commit,repository_dirty,repository_patch_sha256,source_archive_sha256,environment_sha256,execution_identity_sha256,input_hashes,regeneration_command
campaign,COMPLETE,false,,core-20260724-r7,3bd321ec960c2bce0e6c0ff9aba8bb2be89cb19bdb99011a838cbd79068835b8,primary,d01db822c8e909fe2dbfac157bf62eeeb370a3eef45168f4eb1ff5023fbd4e3a,46d8012b3594c18c96ee1a3f1e063ceeaf5642068c6a6aa895e655bcfb257bdd,,,,,,,,,,,,,2855275288e67a1a2d0bbefff0740841fdf0ecf0,false,,8c5f30748596f665cca0bde76d4637074ffff3fa077387dd12b993cf98d2cee6,,,commcanary-wheel=954c9fe0ef908a448b5343c91e7d58e8785fc20a7fd029b699ca0e252614304d;environment-lock=d4b8b2dc177cb09cea84a5b5a51c99d4510a3270fe70286d2133382fbc4abd8b;param-patch-contract=182942ecf6ed3c0ea267b1660a19be8601c16768640dd6ef3f112601a0b26f34;rostam-catalog=a4926ec9b012724b926fbc583b865bb083b7ad6526fee9ffc3e95129717195b8,python -m experiments.rostam.analyze verify --run-directory experiments/rostam/results/core-20260724-r7 --selection-id primary --verdict-sha256 46d8012b3594c18c96ee1a3f1e063ceeaf5642068c6a6aa895e655bcfb257bdd --output-directory experiments/rostam/results/publications/core-20260724-r7-primary --archive-descriptor experiments/rostam/results/archives/core-20260724-r7-primary-46d8012b3594c18c96ee1a3f1e063ceeaf5642068c6a6aa895e655bcfb257bdd.raw-archive-descriptor.json --raw-archive experiments/rostam/results/archives/core-20260724-r7-primary-46d8012b3594c18c96ee1a3f1e063ceeaf5642068c6a6aa895e655bcfb257bdd.raw.tar.gz --baseline-config nccl-2.19.3-default --candidate-config nccl-2.20.5-default --median-threshold-pct 8.0 --median-absolute-threshold-us 1.0
measurement,COMPLETE,false,,core-20260724-r7,3bd321ec960c2bce0e6c0ff9aba8bb2be89cb19bdb99011a838cbd79068835b8,primary,d01db822c8e909fe2dbfac157bf62eeeb370a3eef45168f4eb1ff5023fbd4e3a,46d8012b3594c18c96ee1a3f1e063ceeaf5642068c6a6aa895e655bcfb257bdd,c-canary-param-nccl-2.19.3-defaul-r000000-9cf35fea71dc8b52,9cf35fea71dc8b52da8e8dad229ef398ba744b05a1c62378e38f5cccdf068ee0,a-000001,5a9c81b5b6395a1578583cd6b459094ef5eea08028c3e87082411635d888d362,nccl-2.19.3-default,canary-param,0,245.275000,8192,commcanary.rostam.physical.param-measurement.v1,commcanary.rostam.physical.param-producer.v1,88a3f07c3a3f002418ea571cb94533a7a2123fa15a341e4524c291c0762d5cfb,2855275288e67a1a2d0bbefff0740841fdf0ecf0,false,,8c5f30748596f665cca0bde76d4637074ffff3fa077387dd12b993cf98d2cee6,cc21deddd8d38b6a9a5604d0ab7c47635066abebd1a0a8c9990e7f1c87588f8f,c5124deee1669c00b0c99cc2c4e6b98fc678ce4fe453c701584785621c954723,commcanary-wheel=954c9fe0ef908a448b5343c91e7d58e8785fc20a7fd029b699ca0e252614304d;environment-lock=d4b8b2dc177cb09cea84a5b5a51c99d4510a3270fe70286d2133382fbc4abd8b;param-patch-contract=182942ecf6ed3c0ea267b1660a19be8601c16768640dd6ef3f112601a0b26f34;rostam-catalog=a4926ec9b012724b926fbc583b865bb083b7ad6526fee9ffc3e95129717195b8,python -m experiments.rostam.analyze verify --run-directory experiments/rostam/results/core-20260724-r7 --selection-id primary --verdict-sha256 46d8012b3594c18c96ee1a3f1e063ceeaf5642068c6a6aa895e655bcfb257bdd --output-directory experiments/rostam/results/publications/core-20260724-r7-primary --archive-descriptor experiments/rostam/results/archives/core-20260724-r7-primary-46d8012b3594c18c96ee1a3f1e063ceeaf5642068c6a6aa895e655bcfb257bdd.raw-archive-descriptor.json --raw-archive experiments/rostam/results/archives/core-20260724-r7-primary-46d8012b3594c18c96ee1a3f1e063ceeaf5642068c6a6aa895e655bcfb257bdd.raw.tar.gz --baseline-config nccl-2.19.3-default --candidate-config nccl-2.20.5-default --median-threshold-pct 8.0 --median-absolute-threshold-us 1.0
measurement,COMPLETE,false,,core-20260724-r7,3bd321ec960c2bce0e6c0ff9aba8bb2be89cb19bdb99011a838cbd79068835b8,primary,d01db822c8e909fe2dbfac157bf62eeeb370a3eef45168f4eb1ff5023fbd4e3a,46d8012b3594c18c96ee1a3f1e063ceeaf5642068c6a6aa895e655bcfb257bdd,c-canary-param-nccl-2.19.3-defaul-r000001-e7d364c85b2e483e,e7d364c85b2e483e06eca1f4a0d430190ec939fcf5a668ac9e257d2e202b939d,a-000001,cb878e16e88cb5bfcb4a7527dad023a26d6c45f7759db9342368938386d04eda,nccl-2.19.3-default,canary-param,1,241.095000,8192,commcanary.rostam.physical.param-measurement.v1,commcanary.rostam.physical.param-producer.v1,1085dd2878ea662cca36d23c3b1742665390764a507187f1469cd9ec7a4ecc46,2855275288e67a1a2d0bbefff0740841fdf0ecf0,false,,8c5f30748596f665cca0bde76d4637074ffff3fa077387dd12b993cf98d2cee6,22cc03072f09824fcad31bc891a1de2363df3bd0a7c0f84fecfaca717e66bf7f,ff27a4b03f2d3e6a269f8cc39403de22f59c4ff39aaeac72209b15d8cf982cef,commcanary-wheel=954c9fe0ef908a448b5343c91e7d58e8785fc20a7fd029b699ca0e252614304d;environment-lock=d4b8b2dc177cb09cea84a5b5a51c99d4510a3270fe70286d2133382fbc4abd8b;param-patch-contract=182942ecf6ed3c0ea267b1660a19be8601c16768640dd6ef3f112601a0b26f34;rostam-catalog=a4926ec9b012724b926fbc583b865bb083b7ad6526fee9ffc3e95129717195b8,python -m experiments.rostam.analyze verify --run-directory experiments/rostam/results/core-20260724-r7 --selection-id primary --verdict-sha256 46d8012b3594c18c96ee1a3f1e063ceeaf5642068c6a6aa895e655bcfb257bdd --output-directory experiments/rostam/results/publications/core-20260724-r7-primary --archive-descriptor experiments/rostam/results/archives/core-20260724-r7-primary-46d8012b3594c18c96ee1a3f1e063ceeaf5642068c6a6aa895e655bcfb257bdd.raw-archive-descriptor.json --raw-archive experiments/rostam/results/archives/core-20260724-r7-primary-46d8012b3594c18c96ee1a3f1e063ceeaf5642068c6a6aa895e655bcfb257bdd.raw.tar.gz --baseline-config nccl-2.19.3-default --candidate-config nccl-2.20.5-default --median-threshold-pct 8.0 --median-absolute-threshold-us 1.0
measurement,COMPLETE,false,,core-20260724-r7,3bd321ec960c2bce0e6c0ff9aba8bb2be89cb19bdb99011a838cbd79068835b8,primary,d01db822c8e909fe2dbfac157bf62eeeb370a3eef45168f4eb1ff5023fbd4e3a,46d8012b3594c18c96ee1a3f1e063ceeaf5642068c6a6aa895e655bcfb257bdd,c-canary-param-nccl-2.19.3-defaul-r000002-13120a6e54c603bb,13120a6e54c603bba65b54f869e06aeae9ae4aaf590b3e6407bad38d6ff76dbd,a-000001,79055703594a775ed7c98321964190cad53fcb01b86059a20578a1ce3b2fc8b0,nccl-2.19.3-default,canary-param,2,241.450000,8192,commcanary.rostam.physical.param-measurement.v1,commcanary.rostam.physical.param-producer.v1,df60bba04dbf4745a795e8c0cc6536dcf48d341bd1314198963d1bf755794e18,2855275288e67a1a2d0bbefff0740841fdf0ecf0,false,,8c5f30748596f665cca0bde76d4637074ffff3fa077387dd12b993cf98d2cee6,5686179033ba1122ecda3ff0489d779be22eefb9784a0cfc14052616488f75b0,f66d1e355dda1371e69bfb3c2f4b23b3280f237f9014c3dd2124454212268824,commcanary-wheel=954c9fe0ef908a448b5343c91e7d58e8785fc20a7fd029b699ca0e252614304d;environment-lock=d4b8b2dc177cb09cea84a5b5a51c99d4510a3270fe70286d2133382fbc4abd8b;param-patch-contract=182942ecf6ed3c0ea267b1660a19be8601c16768640dd6ef3f112601a0b26f34;rostam-catalog=a4926ec9b012724b926fbc583b865bb083b7ad6526fee9ffc3e95129717195b8,python -m experiments.rostam.analyze verify --run-directory experiments/rostam/results/core-20260724-r7 --selection-id primary --verdict-sha256 46d8012b3594c18c96ee1a3f1e063ceeaf5642068c6a6aa895e655bcfb257bdd --output-directory experiments/rostam/results/publications/core-20260724-r7-primary --archive-descriptor experiments/rostam/results/archives/core-20260724-r7-primary-46d8012b3594c18c96ee1a3f1e063ceeaf5642068c6a6aa895e655bcfb257bdd.raw-archive-descriptor.json --raw-archive experiments/rostam/results/archives/core-20260724-r7-primary-46d8012b3594c18c96ee1a3f1e063ceeaf5642068c6a6aa895e655bcfb257bdd.raw.tar.gz --baseline-config nccl-2.19.3-default --candidate-config nccl-2.20.5-default --median-threshold-pct 8.0 --median-absolute-threshold-us 1.0
measurement,COMPLETE,false,,core-20260724-r7,3bd321ec960c2bce0e6c0ff9aba8bb2be89cb19bdb99011a838cbd79068835b8,primary,d01db822c8e909fe2dbfac157bf62eeeb370a3eef45168f4eb1ff5023fbd4e3a,46d8012b3594c18c96ee1a3f1e063ceeaf5642068c6a6aa895e655bcfb257bdd,c-canary-param-nccl-2.19.3-defaul-r000003-03333c651355622d,03333c651355622df7eac2ab3026ef487faf81b2301f3608c1bffacfe21ded5c,a-000001,041cd8b1e24eecc650daf987c7135897168f6cbc28945c4a14de88d5ffe7c000,nccl-2.19.3-default,canary-param,3,241.280000,8192,commcanary.rostam.physical.param-measurement.v1,commcanary.rostam.physical.param-producer.v1,091bee85b58c09b6b214a668caebe90998e23cc0b8c141531cb24a2b20abe606,2855275288e67a1a2d0bbefff0740841fdf0ecf0,false,,8c5f30748596f665cca0bde76d4637074ffff3fa077387dd12b993cf98d2cee6,49d5ff1eb73d8b5d1057cf5555395bfc35c8c7039439b9a5104138621c39a9ee,bf7e3291c6f293f4a4a2d8b721a74d2d9e80a99173d9338029dff494e9cadec5,commcanary-wheel=954c9fe0ef908a448b5343c91e7d58e8785fc20a7fd029b699ca0e252614304d;environment-lock=d4b8b2dc177cb09cea84a5b5a51c99d4510a3270fe70286d2133382fbc4abd8b;param-patch-contract=182942ecf6ed3c0ea267b1660a19be8601c16768640dd6ef3f112601a0b26f34;rostam-catalog=a4926ec9b012724b926fbc583b865bb083b7ad6526fee9ffc3e95129717195b8,python -m experiments.rostam.analyze verify --run-directory experiments/rostam/results/core-20260724-r7 --selection-id primary --verdict-sha256 46d8012b3594c18c96ee1a3f1e063ceeaf5642068c6a6aa895e655bcfb257bdd --output-directory experiments/rostam/results/publications/core-20260724-r7-primary --archive-descriptor experiments/rostam/results/archives/core-20260724-r7-primary-46d8012b3594c18c96ee1a3f1e063ceeaf5642068c6a6aa895e655bcfb257bdd.raw-archive-descriptor.json --raw-archive experiments/rostam/results/archives/core-20260724-r7-primary-46d8012b3594c18c96ee1a3f1e063ceeaf5642068c6a6aa895e655bcfb257bdd.raw.tar.gz --baseline-config nccl-2.19.3-default --candidate-config nccl-2.20.5-default --median-threshold-pct 8.0 --median-absolute-threshold-us 1.0
measurement,COMPLETE,false,,core-20260724-r7,3bd321ec960c2bce0e6c0ff9aba8bb2be89cb19bdb99011a838cbd79068835b8,primary,d01db822c8e909fe2dbfac157bf62eeeb370a3eef45168f4eb1ff5023fbd4e3a,46d8012b3594c18c96ee1a3f1e063ceeaf5642068c6a6aa895e655bcfb257bdd,c-canary-param-nccl-2.19.3-defaul-r000004-426a801506729c9d,426a801506729c9d48e543f916a83ef11d3d1eba3c2b3404eacf81cfcbb182f4,a-000001,acbaab354e86a4b29249c813a63e3aa13b52acb5a7d0c7944f6e2e09c230d4df,nccl-2.19.3-default,canary-param,4,242.105000,8192,commcanary.rostam.physical.param-measurement.v1,commcanary.rostam.physical.param-producer.v1,db354f223887d9a4d5dcfe06e91741050de6056dcb4309a660eb75f3e4c5db1f,2855275288e67a1a2d0bbefff0740841fdf0ecf0,false,,8c5f30748596f665cca0bde76d4637074ffff3fa077387dd12b993cf98d2cee6,9c42aecc4702ae24ce404087a728fb454807359d7e52b896391c6cf2226a3dce,19c4057fa39c62ef2aab3713c04e3f86e0253c2e7c2eddc310cdb39f4faa3baf,commcanary-wheel=954c9fe0ef908a448b5343c91e7d58e8785fc20a7fd029b699ca0e252614304d;environment-lock=d4b8b2dc177cb09cea84a5b5a51c99d4510a3270fe70286d2133382fbc4abd8b;param-patch-contract=182942ecf6ed3c0ea267b1660a19be8601c16768640dd6ef3f112601a0b26f34;rostam-catalog=a4926ec9b012724b926fbc583b865bb083b7ad6526fee9ffc3e95129717195b8,python -m experiments.rostam.analyze verify --run-directory experiments/rostam/results/core-20260724-r7 --selection-id primary --verdict-sha256 46d8012b3594c18c96ee1a3f1e063ceeaf5642068c6a6aa895e655bcfb257bdd --output-directory experiments/rostam/results/publications/core-20260724-r7-primary --archive-descriptor experiments/rostam/results/archives/core-20260724-r7-primary-46d8012b3594c18c96ee1a3f1e063ceeaf5642068c6a6aa895e655bcfb257bdd.raw-archive-descriptor.json --raw-archive experiments/rostam/results/archives/core-20260724-r7-primary-46d8012b3594c18c96ee1a3f1e063ceeaf5642068c6a6aa895e655bcfb257bdd.raw.tar.gz --baseline-config nccl-2.19.3-default --candidate-config nccl-2.20.5-default --median-threshold-pct 8.0 --median-absolute-threshold-us 1.0
measurement,COMPLETE,false,,core-20260724-r7,3bd321ec960c2bce0e6c0ff9aba8bb2be89cb19bdb99011a838cbd79068835b8,primary,d01db822c8e909fe2dbfac157bf62eeeb370a3eef45168f4eb1ff5023fbd4e3a,46d8012b3594c18c96ee1a3f1e063ceeaf5642068c6a6aa895e655bcfb257bdd,c-canary-param-nccl-2.20.5-defaul-r000000-9ab71d431a6505d4,9ab71d431a6505d4301b2026d6c153662dfb8eb3fc69d155231e081c88371be1,a-000001,5aab1159b36a07630278423c5e20f18bad201177c7c85604086fa5570f6d2fd3,nccl-2.20.5-default,canary-param,0,243.235000,8192,commcanary.rostam.physical.param-measurement.v1,commcanary.rostam.physical.param-producer.v1,7317ea3fce441aaf9858ea63e5651a9a944f5d94112b2464745f0dea06a7f6ea,2855275288e67a1a2d0bbefff0740841fdf0ecf0,false,,8c5f30748596f665cca0bde76d4637074ffff3fa077387dd12b993cf98d2cee6,7338e4677236eb1bcd4972ed3f9be176c66f9141d5d41a902c50937857a049f4,c23c01e8988f36ffa8c5363ab1148ed5d160f421b3b3edf3be2bfe7406153e18,commcanary-wheel=954c9fe0ef908a448b5343c91e7d58e8785fc20a7fd029b699ca0e252614304d;environment-lock=d4b8b2dc177cb09cea84a5b5a51c99d4510a3270fe70286d2133382fbc4abd8b;param-patch-contract=182942ecf6ed3c0ea267b1660a19be8601c16768640dd6ef3f112601a0b26f34;rostam-catalog=a4926ec9b012724b926fbc583b865bb083b7ad6526fee9ffc3e95129717195b8,python -m experiments.rostam.analyze verify --run-directory experiments/rostam/results/core-20260724-r7 --selection-id primary --verdict-sha256 46d8012b3594c18c96ee1a3f1e063ceeaf5642068c6a6aa895e655bcfb257bdd --output-directory experiments/rostam/results/publications/core-20260724-r7-primary --archive-descriptor experiments/rostam/results/archives/core-20260724-r7-primary-46d8012b3594c18c96ee1a3f1e063ceeaf5642068c6a6aa895e655bcfb257bdd.raw-archive-descriptor.json --raw-archive experiments/rostam/results/archives/core-20260724-r7-primary-46d8012b3594c18c96ee1a3f1e063ceeaf5642068c6a6aa895e655bcfb257bdd.raw.tar.gz --baseline-config nccl-2.19.3-default --candidate-config nccl-2.20.5-default --median-threshold-pct 8.0 --median-absolute-threshold-us 1.0
measurement,COMPLETE,false,,core-20260724-r7,3bd321ec960c2bce0e6c0ff9aba8bb2be89cb19bdb99011a838cbd79068835b8,primary,d01db822c8e909fe2dbfac157bf62eeeb370a3eef45168f4eb1ff5023fbd4e3a,46d8012b3594c18c96ee1a3f1e063ceeaf5642068c6a6aa895e655bcfb257bdd,c-canary-param-nccl-2.20.5-defaul-r000001-18fed7cdd4378739,18fed7cdd43787390b63bc9d4eeab834bfef9c3ec983937c1a1e458e3feff17d,a-000001,451bd5a09066d6d50e648ddfc1317dc9c6ead40d5dac4c8f890bba78f2428325,nccl-2.20.5-default,canary-param,1,244.580000,8192,commcanary.rostam.physical.param-measurement.v1,commcanary.rostam.physical.param-producer.v1,b2aec00a85b33e6b951ab0257ab1671c98a5fe38c1423be4f3470baff120c72e,2855275288e67a1a2d0bbefff0740841fdf0ecf0,false,,8c5f30748596f665cca0bde76d4637074ffff3fa077387dd12b993cf98d2cee6,7da2df261ae7ab989413dfc29ad080a5c608e5a7327763ce772bbd62d00045cf,17b03ffb9b15b97626afd2f71b470e6c20cf23f501e519fc0b8e795a0a3bd47d,commcanary-wheel=954c9fe0ef908a448b5343c91e7d58e8785fc20a7fd029b699ca0e252614304d;environment-lock=d4b8b2dc177cb09cea84a5b5a51c99d4510a3270fe70286d2133382fbc4abd8b;param-patch-contract=182942ecf6ed3c0ea267b1660a19be8601c16768640dd6ef3f112601a0b26f34;rostam-catalog=a4926ec9b012724b926fbc583b865bb083b7ad6526fee9ffc3e95129717195b8,python -m experiments.rostam.analyze verify --run-directory experiments/rostam/results/core-20260724-r7 --selection-id primary --verdict-sha256 46d8012b3594c18c96ee1a3f1e063ceeaf5642068c6a6aa895e655bcfb257bdd --output-directory experiments/rostam/results/publications/core-20260724-r7-primary --archive-descriptor experiments/rostam/results/archives/core-20260724-r7-primary-46d8012b3594c18c96ee1a3f1e063ceeaf5642068c6a6aa895e655bcfb257bdd.raw-archive-descriptor.json --raw-archive experiments/rostam/results/archives/core-20260724-r7-primary-46d8012b3594c18c96ee1a3f1e063ceeaf5642068c6a6aa895e655bcfb257bdd.raw.tar.gz --baseline-config nccl-2.19.3-default --candidate-config nccl-2.20.5-default --median-threshold-pct 8.0 --median-absolute-threshold-us 1.0
measurement,COMPLETE,false,,core-20260724-r7,3bd321ec960c2bce0e6c0ff9aba8bb2be89cb19bdb99011a838cbd79068835b8,primary,d01db822c8e909fe2dbfac157bf62eeeb370a3eef45168f4eb1ff5023fbd4e3a,46d8012b3594c18c96ee1a3f1e063ceeaf5642068c6a6aa895e655bcfb257bdd,c-canary-param-nccl-2.20.5-defaul-r000002-10ebec374dcf8284,10ebec374dcf828421c85ab2c44bc294defc92741cf0f9ac0eae629a731f2146,a-000001,1e7953688f6be5b257543592b0d187657ec1ca7d50c2c2cdb163ddd930d6444b,nccl-2.20.5-default,canary-param,2,243.040000,8192,commcanary.rostam.physical.param-measurement.v1,commcanary.rostam.physical.param-producer.v1,c7b8e19ec51956463978d644049c197170b1ad5f57f383709be56577eb0b616f,2855275288e67a1a2d0bbefff0740841fdf0ecf0,false,,8c5f30748596f665cca0bde76d4637074ffff3fa077387dd12b993cf98d2cee6,91ee3a6b66929b84050380af7da725e3b6af63589af4fea11a2e063fec5e2aa2,41029391f16cf56147fa76c1c631ba9d21f1837912943291de200f6598aaf235,commcanary-wheel=954c9fe0ef908a448b5343c91e7d58e8785fc20a7fd029b699ca0e252614304d;environment-lock=d4b8b2dc177cb09cea84a5b5a51c99d4510a3270fe70286d2133382fbc4abd8b;param-patch-contract=182942ecf6ed3c0ea267b1660a19be8601c16768640dd6ef3f112601a0b26f34;rostam-catalog=a4926ec9b012724b926fbc583b865bb083b7ad6526fee9ffc3e95129717195b8,python -m experiments.rostam.analyze verify --run-directory experiments/rostam/results/core-20260724-r7 --selection-id primary --verdict-sha256 46d8012b3594c18c96ee1a3f1e063ceeaf5642068c6a6aa895e655bcfb257bdd --output-directory experiments/rostam/results/publications/core-20260724-r7-primary --archive-descriptor experiments/rostam/results/archives/core-20260724-r7-primary-46d8012b3594c18c96ee1a3f1e063ceeaf5642068c6a6aa895e655bcfb257bdd.raw-archive-descriptor.json --raw-archive experiments/rostam/results/archives/core-20260724-r7-primary-46d8012b3594c18c96ee1a3f1e063ceeaf5642068c6a6aa895e655bcfb257bdd.raw.tar.gz --baseline-config nccl-2.19.3-default --candidate-config nccl-2.20.5-default --median-threshold-pct 8.0 --median-absolute-threshold-us 1.0
measurement,COMPLETE,false,,core-20260724-r7,3bd321ec960c2bce0e6c0ff9aba8bb2be89cb19bdb99011a838cbd79068835b8,primary,d01db822c8e909fe2dbfac157bf62eeeb370a3eef45168f4eb1ff5023fbd4e3a,46d8012b3594c18c96ee1a3f1e063ceeaf5642068c6a6aa895e655bcfb257bdd,c-canary-param-nccl-2.20.5-defaul-r000003-392a4bc99c0f7216,392a4bc99c0f7216f440c1ed00d690ce0e23654ea2da6e17bf186b1cb7dbad1b,a-000001,0fa11c50d3da7f841d226e001f41a37579f474800894359e1de538022f61fca1,nccl-2.20.5-default,canary-param,3,247.730000,8192,commcanary.rostam.physical.param-measurement.v1,commcanary.rostam.physical.param-producer.v1,b6a4a78797133eacb1e28b3ae1381d7249b56f3dfb28dce0f9c9dff798b2ad9b,2855275288e67a1a2d0bbefff0740841fdf0ecf0,false,,8c5f30748596f665cca0bde76d4637074ffff3fa077387dd12b993cf98d2cee6,9890070bd983850b2816715622a08109bd44a3d8db67f1323c7bc694d14b7e87,d0d10671533b9c9175fcbc04b38a6bd3d94a0b4431ef123f407b72137333b2a5,commcanary-wheel=954c9fe0ef908a448b5343c91e7d58e8785fc20a7fd029b699ca0e252614304d;environment-lock=d4b8b2dc177cb09cea84a5b5a51c99d4510a3270fe70286d2133382fbc4abd8b;param-patch-contract=182942ecf6ed3c0ea267b1660a19be8601c16768640dd6ef3f112601a0b26f34;rostam-catalog=a4926ec9b012724b926fbc583b865bb083b7ad6526fee9ffc3e95129717195b8,python -m experiments.rostam.analyze verify --run-directory experiments/rostam/results/core-20260724-r7 --selection-id primary --verdict-sha256 46d8012b3594c18c96ee1a3f1e063ceeaf5642068c6a6aa895e655bcfb257bdd --output-directory experiments/rostam/results/publications/core-20260724-r7-primary --archive-descriptor experiments/rostam/results/archives/core-20260724-r7-primary-46d8012b3594c18c96ee1a3f1e063ceeaf5642068c6a6aa895e655bcfb257bdd.raw-archive-descriptor.json --raw-archive experiments/rostam/results/archives/core-20260724-r7-primary-46d8012b3594c18c96ee1a3f1e063ceeaf5642068c6a6aa895e655bcfb257bdd.raw.tar.gz --baseline-config nccl-2.19.3-default --candidate-config nccl-2.20.5-default --median-threshold-pct 8.0 --median-absolute-threshold-us 1.0
